Title,Genre,Rate,Votes,Gross(M)
277. Rocky (1976),Sport,8.1,509331,117.24
233. Million Dollar Baby (2004),Sport,8.1,626932,100.49
171. Raging Bull (1980),Sport,8.2,316223,23.38
250. The Big Lebowski (1998),Sport,8.1,719459,17.5
144. Warrior (2011),Sport,8.2,429970,13.66
139. Bhaag Milkha Bhaag (2013),Sport,8.2,59970,1.63
148. Chak De! India (2007),Sport,8.2,72790,1.11
101. Children of Heaven (1997),Sport,8.3,63321,0.93
