Title,Rate,Votes,Gross(M)
2. The Godfather (1972),9.2,1584782,134.97
3. The Dark Knight (2008),9.0,2260649,534.86
4. The Godfather: Part II (1974),9.0,1107253,57.3
6. Pulp Fiction (1994),8.9,1792919,107.93
8. 12 Angry Men (1957),8.9,674629,4.36
17. Goodfellas (1990),8.7,999623,46.84
27. Se7en (1995),8.6,1414169,100.13
28. The Silence of the Lambs (1991),8.6,1244794,130.74
25. The Green Mile (1999),8.6,1122263,136.8
22. City of God (2002),8.6,689676,7.56
